Reading data/nin_grunntyper.json
NA_I1-C-1	NA_I1-E-1
NA_T10-C-1	NA_T10-E-1
NA_T11-C-1	NA_T11-E-1
NA_T11-C-2	NA_T11-E-1
NA_T12-C-1	NA_T12-E-1
NA_T12-C-2	NA_T12-E-1
NA_T13-C-1	NA_T13-E-1
NA_T13-C-10	NA_T13-E-7
NA_T13-C-11	NA_T13-E-7
NA_T13-C-12	NA_T13-E-8
NA_T13-C-13	NA_T13-E-8
NA_T13-C-14	NA_T13-E-9
NA_T13-C-15	NA_T13-E-9
NA_T13-C-2	NA_T13-E-1
NA_T13-C-3	NA_T13-E-2
NA_T13-C-4	NA_T13-E-3
NA_T13-C-5	NA_T13-E-3
NA_T13-C-6	NA_T13-E-4
NA_T13-C-7	NA_T13-E-5
NA_T13-C-8	NA_T13-E-5
NA_T13-C-9	NA_T13-E-6
NA_T14-C-1	NA_T14-E-1
NA_T14-C-2	NA_T14-E-2
NA_T15-C-1	NA_T15-E-1
NA_T15-C-2	NA_T15-E-2
NA_T16-C-1	NA_T16-E-1
NA_T16-C-2	NA_T16-E-1
NA_T16-C-3	NA_T16-E-1
NA_T16-C-4	NA_T16-E-1
NA_T16-C-5	NA_T16-E-1
NA_T16-C-6	NA_T16-E-1
NA_T16-C-7	NA_T16-E-1
NA_T17-C-1	NA_T17-E-1
NA_T17-C-2	NA_T17-E-2
NA_T17-C-3	NA_T17-E-3
NA_T18-C-1	NA_T18-E-1
NA_T18-C-2	NA_T18-E-1
NA_T18-C-3	NA_T18-E-2
NA_T18-C-4	NA_T18-E-3
NA_T19-C-1	NA_T19-E-1
NA_T19-C-2	NA_T19-E-2
NA_T1-C-1	NA_T1-E-1
NA_T1-C-10	NA_T1-E-1
NA_T1-C-11	NA_T1-E-2
NA_T1-C-12	NA_T1-E-2
NA_T1-C-2	NA_T1-E-1
NA_T1-C-3	NA_T1-E-1
NA_T1-C-4	NA_T1-E-1
NA_T1-C-5	NA_T1-E-2
NA_T1-C-6	NA_T1-E-2
NA_T1-C-7	NA_T1-E-2
NA_T1-C-8	NA_T1-E-2
NA_T1-C-9	NA_T1-E-1
NA_T20-C-1	NA_T20-E-1
NA_T20-C-2	NA_T20-E-2
NA_T21-C-1	NA_T21-E-1
NA_T21-C-2	NA_T21-E-1
NA_T21-C-3	NA_T21-E-1
NA_T21-C-4	NA_T21-E-1
NA_T22-C-1	NA_T22-E-1
NA_T22-C-2	NA_T22-E-1
NA_T22-C-3	NA_T22-E-2
NA_T22-C-4	NA_T22-E-2
NA_T23-C-1	NA_T23-E-1
NA_T24-C-1	NA_T24-E-1
NA_T24-C-2	NA_T24-E-1
NA_T25-C-1	NA_T25-E-1
NA_T25-C-2	NA_T25-E-2
NA_T25-C-3	NA_T25-E-3
NA_T26-C-1	NA_T26-E-1
NA_T26-C-2	NA_T26-E-1
NA_T26-C-3	NA_T26-E-1
NA_T26-C-4	NA_T26-E-1
NA_T27-C-1	NA_T27-E-1
NA_T27-C-2	NA_T27-E-1
NA_T27-C-3	NA_T27-E-2
NA_T27-C-4	NA_T27-E-2
NA_T27-C-5	NA_T27-E-3
NA_T27-C-6	NA_T27-E-1
NA_T27-C-7	NA_T27-E-2
NA_T28-C-1	NA_T28-E-1
NA_T28-C-2	NA_T28-E-2
NA_T28-C-3	NA_T28-E-3
NA_T29-C-1	NA_T29-E-1
NA_T29-C-2	NA_T29-E-1
NA_T29-C-3	NA_T29-E-1
NA_T29-C-4	NA_T29-E-1
NA_T29-C-5	NA_T29-E-1
NA_T29-C-6	NA_T29-E-1
NA_T2-C-1	NA_T2-E-1
NA_T2-C-2	NA_T2-E-1
NA_T2-C-3	NA_T2-E-2
NA_T2-C-4	NA_T2-E-2
NA_T2-C-5	NA_T2-E-3
NA_T2-C-6	NA_T2-E-3
NA_T2-C-7	NA_T2-E-4
NA_T2-C-8	NA_T2-E-4
NA_T30-C-1	NA_T30-E-1
NA_T30-C-2	NA_T30-E-1
NA_T30-C-3	NA_T30-E-1
NA_T30-C-4	NA_T30-E-1
NA_T31-C-1	NA_T31-E-1
NA_T31-C-10	NA_T31-E-5
NA_T31-C-11	NA_T31-E-7
NA_T31-C-12	NA_T31-E-7
NA_T31-C-13	NA_T31-E-3
NA_T31-C-14	NA_T31-E-5
NA_T31-C-2	NA_T31-E-2
NA_T31-C-3	NA_T31-E-2
NA_T31-C-4	NA_T31-E-3
NA_T31-C-5	NA_T31-E-4
NA_T31-C-6	NA_T31-E-4
NA_T31-C-7	NA_T31-E-5
NA_T31-C-8	NA_T31-E-6
NA_T31-C-9	NA_T31-E-6
NA_T32-C-1	NA_T32-E-1
NA_T32-C-10	NA_T32-E-3
NA_T32-C-11	NA_T32-E-1
NA_T32-C-12	NA_T32-E-1
NA_T32-C-13	NA_T32-E-2
NA_T32-C-14	NA_T32-E-2
NA_T32-C-15	NA_T32-E-3
NA_T32-C-16	NA_T32-E-3
NA_T32-C-17	NA_T32-E-3
NA_T32-C-18	NA_T32-E-3
NA_T32-C-19	NA_T32-E-3
NA_T32-C-2	NA_T32-E-1
NA_T32-C-20	NA_T32-E-3
NA_T32-C-21	NA_T32-E-3
NA_T32-C-3	NA_T32-E-2
NA_T32-C-4	NA_T32-E-2
NA_T32-C-5	NA_T32-E-3
NA_T32-C-6	NA_T32-E-2
NA_T32-C-7	NA_T32-E-3
NA_T32-C-8	NA_T32-E-3
NA_T32-C-9	NA_T32-E-3
NA_T33-C-1	NA_T33-E-1
NA_T33-C-2	NA_T33-E-1
NA_T34-C-1	NA_T34-E-1	NA_T34-E-4
NA_T34-C-2	NA_T34-E-1
NA_T34-C-3	NA_T34-E-2
NA_T34-C-4	NA_T34-E-2
NA_T34-C-5	NA_T34-E-3
NA_T34-C-6	
NA_T35-C-1	NA_T35-E-1
NA_T35-C-2	NA_T35-E-2
NA_T35-C-3	NA_T35-E-3
NA_T36-C-1	NA_T36-E-1
NA_T36-C-2	NA_T36-E-2
NA_T36-C-3	NA_T36-E-3
NA_T37-C-1	NA_T37-E-1
NA_T37-C-2	NA_T37-E-2
NA_T37-C-3	NA_T37-E-3
NA_T38-C-1	NA_T38-E-1
NA_T39-C-1	NA_T39-E-1
NA_T39-C-2	NA_T39-E-2
NA_T39-C-3	NA_T39-E-3
NA_T39-C-4	NA_T39-E-4
NA_T3-C-1	NA_T3-E-1
NA_T3-C-10	NA_T3-E-3
NA_T3-C-11	NA_T3-E-7
NA_T3-C-12	NA_T3-E-7
NA_T3-C-13	NA_T3-E-3
NA_T3-C-14	NA_T3-E-3
NA_T3-C-2	NA_T3-E-4
NA_T3-C-3	NA_T3-E-4
NA_T3-C-4	NA_T3-E-2
NA_T3-C-5	NA_T3-E-5
NA_T3-C-6	NA_T3-E-5
NA_T3-C-7	NA_T3-E-3
NA_T3-C-8	NA_T3-E-6
NA_T3-C-9	NA_T3-E-6
NA_T40-C-1	NA_T40-E-1
NA_T41-C-1	NA_T41-E-1
NA_T42-C-1	NA_T42-E-1
NA_T43-C-1	NA_T43-E-1
NA_T44-C-1	NA_T44-E-1
NA_T45-C-1	NA_T45-E-1
NA_T45-C-2	NA_T45-E-2
NA_T45-C-3	NA_T45-E-2
NA_T4-C-1	NA_T4-E-1
NA_T4-C-10	NA_T4-E-5
NA_T4-C-11	NA_T4-E-6
NA_T4-C-12	NA_T4-E-6
NA_T4-C-13	NA_T4-E-4
NA_T4-C-14	NA_T4-E-5
NA_T4-C-15	NA_T4-E-6
NA_T4-C-16	NA_T4-E-6
NA_T4-C-17	NA_T4-E-2
NA_T4-C-18	NA_T4-E-3
NA_T4-C-19	NA_T4-E-3
NA_T4-C-2	NA_T4-E-2
NA_T4-C-20	NA_T4-E-6
NA_T4-C-3	NA_T4-E-3
NA_T4-C-4	NA_T4-E-3
NA_T4-C-5	NA_T4-E-1
NA_T4-C-6	NA_T4-E-2
NA_T4-C-7	NA_T4-E-3
NA_T4-C-8	NA_T4-E-3
NA_T4-C-9	NA_T4-E-4
NA_T5-C-1	NA_T5-E-1
NA_T5-C-2	NA_T5-E-2
